"","NameBankID","EOLID","NameFound","NameConfirmed","Titles"
"14936","11228431","1138609","Mammillaria nervosus","Maxillaria nervosa Rolfe ex Britton",NA
"14946","5761968","5180214","Mammillaria picta","Mammillaria picta",NA
"14965","5786765","5180752","Mammillaria viperina","Mammillaria viperina",NA
"14974","5761781","5179137","Mammillaria beneckei","Mammillaria beneckei",NA
"14981","5761938","5180049","Mammillaria multiradiata","Mammillaria multidigitata",NA
"15033","230929","49219","Euchlora","Euchlora",NA
"15038","8355585","5179420","Mammillaria decora obscura","Mammillaria decora C.F. Först.",NA
"15125","614023","11256275","Epiphyllum truncatum spectabile","Epiphyllum truncatum Haw.",NA
"15141","5893567","23536425","Epiphyllum spectabile","Calophyllum spectabile Willd.",NA
"15150","","967218","Epiphyllum delicatulum","Nitophyllum delicatulum Harvey",NA
"15172","4208172","113088","Itatiaya","Itatiaya",NA
"15220","5787348","5184924","Schlumbergera russelliana","Schlumbergera russelliana",NA
"15240","4935031","29241","Phyllanthus","Phyllanthus",NA
"15250","","462137","Epiphyllum americanum","Notophyllum americanum Verrill, 1882",NA
"15251","5767611","5184577","Epiphyllum anguliger","Epiphyllum anguliger",NA
"15256","","5184608","Epiphyllum guatemalense","Epiphyllum guatemalense Britton & J. N. Rose",NA
"15257","2773747","11256002","Epiphyllum hookeri","Epiphyllum hookeri",NA
"15259","2671531","482221","Epiphyllum oxypetalum","Epiphyllum oxypetalum",NA
"15276","5866949","5182506","Cereus oxypetalus","Cereus oxypetalus DC.",NA
"15285","2654498","38426","Heliotropium","Heliotropium",NA
"15323","2693785","10720381","Chama","Chama",NA
"15338","8668295","5194798","Phyllocactus anguliger","Phyllocactus anguliger Lem.",NA
"15406","","5184611","Epiphyllum hybridum","Epiphyllum hybridum Hort.ex Pfeiff.",NA
"15474","9072434","5181931","Cereus biformis","Cereus biformis Lindl.",NA
"15534","5787324","5181652","Rhipsalis pilocarpa","Rhipsalis pilocarpa",NA
"15555","9129432","5181678","Rhipsalis rosea","Rhipsalis rosea",NA
"15556","3006157","47676","Ypanema","Ypanema",NA
"15590","","5191172","Hariota","Hariota Adans.",NA
"15604","","5181624","Rhipsalis monacantha","Rhipsalis monacantha Griseb.",NA
"15607","","5197039","Wittia costaricensis","Wittia costaricensis Britton & J. N. Rose",NA
"15679","5917642","5181684","Rhipsalis salicornioides","Rhipsalis salicornioides",NA
"15721","","72879","Cassytha","Cassytha L.",NA
"15722","2645122","596901","Cassytha filiformis","Cassytha filiformis",NA
"15732","2669707","1128007","Vanilla claviculata","Vanilla claviculata",NA
"15737","3475199","5181502","Rhipsalis burchellii","Rhipsalis burchellii",NA
"15738","3475191","5181504","Rhipsalis campos-portoana","Rhipsalis campos-portoana",NA
"15779","","5181603","Rhipsalis linearis","Rhipsalis linearis K. Schum.",NA
"15781","9015853","5181605","Rhipsalis lorentziana","Rhipsalis lorentziana Griseb.",NA
"15785","5787320","5181641","Rhipsalis paradoxa","Rhipsalis paradoxa",NA
"15797","2665273","11256701","Mesembryanthemum","Mesembryanthemum",NA
"15818","5787293","5181525","Rhipsalis clavata","Rhipsalis clavata",NA
"15821","","5181706","Rhipsalis suareziana","Rhipsalis suareziana F.A.C. Weber",NA
"15831","10928896","5181526","Rhipsalis clavata delicatula","Rhipsalis clavata f. delicatula",NA
"15851","5852366","5181509","Rhipsalis cassytha","Rhipsalis cassytha Gaertn.",NA
"16065","595164","2684658","Lagoa","Lagoa",NA
"16069","","5181671","Rhipsalis regnellii","Rhipsalis regnellii Lindb.",NA
"16089","4195289","84517","Hieronymus","Hieronymus",NA
"16111","","5125921","Tafalla","Tafalla D. Don",NA
"16134","4105489","27399577","Catharina","Catharina",NA
"16148","","904267","Rhipsalis crassa","Rhipilia crassa",NA
"16154","2991171","64144","Sorocaba","Sorocaba",NA
"16157","9045066","5182094","Cereus crispatus","Cereus crispatus Haw.",NA
"16159","","860585","Epiphyllum rhombeum","Choriphyllum rhombeum (Linnaeus 1767)",NA
"16280","","5184817","Pereskia humboldtii","Pereskia humboldtii Britton & J. N. Rose",NA
"16294","5762252","5194705","Pereskiopsis spathulata","Pereskiopsis spathulata",NA
"16308","3474485","5195263","Quiabentia","Quiabentia",NA
"16309","5787215","5195269","Quiabentia zehntneri","Quiabentia zehntneri",NA
